3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
383,Agency_Valley,-118.158,43.908,1177.3,247,184,21.91379403440997,51.98620596559003,73.9,2.0092828,76.58602142333984
384,Jackson_Lake,-110.592,43.858,1963.3,278,184,77.76173367007027,999.0382663299297,1076.8,8.875393,87.84381103515625
385,Anchor,-108.825,43.658,323.8,284,186,18.94,2.259999999999998,21.2,0.17453595,3.2042605876922607
386,Owyhee,-117.242,43.642,27569.5,251,186,192.52929860290212,689.3707013970978,881.9,47.968704,465.2319030761719
387,Arrowrock,-115.925,43.592,5727.8,258,186,4.329999999999984,349.07,353.4,20.293423,731.760986328125
388,Warm_Springs,-118.225,43.592,2503.9,247,185,37.16999999999999,198.43,235.6,3.5363526,148.74310302734375
390,Ririe,-111.742,43.575,1475.9,273,187,7.709999999999994,91.59,99.3,4.2629957,150.48806762695312
391,Lucky_Peak,-116.058,43.525,7227.5,256,186,98.12,280.58,378.7,24.594278,824.8444213867188
392,Little_Wood_River,-114.025,43.425,845.4,264,187,6.609999999999999,30.39,37.0,1.4950432,68.81204223632812
393,Boysen,-108.175,43.408,20384.0,288,187,152.95122631708136,525.3487736829186,678.3,12.852535,155.22332763671875
394,Anderson_Ranch,-115.442,43.358,2637.5,259,187,138.15999999999997,383.64,521.8,8.354972,349.5481262207031
396,Palisades,-111.208,43.325,13685.7,276,187,248.3499325550431,1231.850067444957,1480.2,51.076073,439.85406494140625
397,Magic_Dam,-114.358,43.258,4037.0,263,187,42.55000000000001,197.95,240.5,9.574541,461.3894348144531
398,Bull_Lake,-109.042,43.208,533.7,283,188,47.48999999999998,139.71,187.2,0.3248387,7.525947570800781
401,Johnson_1,-106.675,43.025,538.4,293,189,6.809999999999999,8.39,15.2,0.30804187,15.330982208251953
402,Blackfoot,-111.708,43.008,1478.2,274,189,29.899999999999977,475.8,505.7,3.1742072,137.6067352294922
405,C.J._Strike,-115.975,42.942,90820.9,256,189,24.516254364739325,280.18374563526066,304.7,190.0315,1100.71240234375
408,Lower_Salmon,-114.908,42.842,62347.2,261,190,0.92,12.48,13.4,139.53925,990.9209594726562
411,American_Falls,-112.875,42.775,39835.1,269,189,219.54290858612532,1841.9570914138747,2061.5,116.71567,1032.90625
